"","age","nev_mar","rural","school","tenure","wage"
"110",26,0,0,12,0.416666656732559,11
"111",26,0,0,10,0.416666656732559,11
"112",24,1,0,16,0.5,12
"113",35,0,0,12,2.91666674613953,11
"114",21,0,1,12,1.5,14
"115",25,0,0,15,2.83333325386047,12
"116",23,0,1,11,4.41666650772095,13
"117",22,1,0,12,0.0833333358168602,14
"118",26,1,0,12,0.916666686534882,14
"119",24,1,1,14,0.333333343267441,15
"120",26,0,1,16,1.41666662693024,11
"121",35,0,0,12,2.66666674613953,14
"122",21,0,1,12,1.66666662693024,11
"123",20,1,0,10,0.0833333358168602,11
"124",35,0,0,12,1.83333337306976,15
"125",22,0,0,12,0.333333343267441,13
"126",38,0,1,12,3.33333325386047,13
"127",21,0,0,12,2,11
"128",37,0,0,12,0.916666686534882,13
"129",28,0,1,14,1.66666662693024,14
"130",27,0,1,13,1.25,15
"131",20,1,0,12,0.25,15
"132",23,0,1,9,0.25,12
"133",42,0,1,12,0.416666656732559,12
"134",24,0,0,12,0.583333313465118,11
"135",24,1,0,11,0.5,11
"136",33,0,1,12,4.5,15
"137",26,0,0,9,1.66666662693024,15
"138",24,0,0,12,2.08333325386047,14
"139",34,0,1,16,0.5,11
"140",21,1,0,12,1.91666662693024,15
"141",21,0,0,12,0.0833333358168602,11
"142",22,0,0,12,3.08333325386047,13
"143",19,1,0,12,0.16666667163372,15
"144",37,1,0,12,2,15
"145",22,1,0,12,1.25,12
"146",21,0,1,11,0.0833333358168602,11
"147",26,0,1,7,0.16666667163372,11
"148",37,1,1,17,13.9166669845581,15
"149",33,0,1,9,0.583333313465118,13
"150",39,0,0,12,2.91666674613953,15
"151",22,1,1,12,1.41666662693024,12
"152",31,0,0,12,4.5,12
"153",23,1,0,12,0.416666656732559,14
"154",34,0,0,12,6,14
"155",27,0,0,12,2.33333325386047,11
"156",27,1,0,12,0.5,11
"157",22,0,1,8,0.0833333358168602,11
"158",30,0,1,8,0.16666667163372,11
"159",26,1,0,9,0.416666656732559,13
"160",23,0,0,12,1.83333337306976,15
"161",25,1,0,17,0.16666667163372,13
"162",27,0,1,12,1.83333337306976,13
"163",21,1,0,12,0.25,11
"164",22,1,0,11,0.333333343267441,11
"165",36,0,1,15,0,11
"166",22,1,0,12,0.5,15
"167",19,0,1,10,0.416666656732559,15
"168",38,0,0,12,0.333333343267441,14
"169",29,1,1,11,0.25,15
"170",23,0,1,12,2.41666674613953,14
"171",22,1,0,12,0.916666686534882,11
"172",22,0,0,12,2.75,11
"173",19,1,0,12,0.5,15
"174",31,1,0,12,0.25,13
"175",34,0,0,12,1.16666662693024,11
"176",37,0,0,12,1,14
"177",40,0,0,17,4.25,15
"178",26,1,0,12,0.583333313465118,15
"179",20,0,0,12,0.25,13
"180",44,0,1,12,1,15
"181",37,0,1,13,0.833333313465118,13
"182",43,0,0,12,1.41666662693024,13
"183",40,0,0,10,4.41666650772095,11
"184",35,0,0,10,4.83333349227905,13
"185",28,1,0,12,3.83333325386047,14
"186",24,0,0,12,0.416666656732559,11
"187",30,0,0,10,0.333333343267441,11
"188",35,0,1,8,0.16666667163372,11
"189",29,1,0,9,0.5,11
"190",21,1,0,7,0.25,13
"191",24,0,0,12,0,11
"192",38,0,1,15,2.75,11
"193",44,0,0,12,0,12
"194",31,0,0,14,0.25,15
"195",19,1,0,12,0.416666656732559,15
"196",44,0,0,12,1.91666662693024,14
"197",18,1,0,9,0.25,12
"198",28,0,1,12,0.333333343267441,12
"199",32,0,0,12,0,12
"200",31,0,1,12,0.333333343267441,11
"201",29,1,0,12,0,13
"202",23,0,0,12,0.583333313465118,13
"203",26,0,0,12,2.58333325386047,13
"204",27,0,0,11,3.41666674613953,12
"205",20,1,0,12,0.5,13
"206",24,1,0,12,2.08333325386047,13
"207",39,0,1,17,1.16666662693024,14
"208",38,0,0,12,3.16666674613953,12
"209",39,0,1,11,0.0833333358168602,12
"210",40,0,0,12,0.25,12
"211",28,0,1,14,0.25,11
"212",36,0,0,12,0.333333343267441,15
"213",25,0,0,16,1.33333337306976,12
"214",28,0,0,12,2.91666674613953,14
"215",23,1,0,12,3.83333325386047,14
"216",23,1,0,10,2,14
"217",24,0,0,11,3.16666674613953,12
"218",35,0,0,12,0.666666686534882,11
"219",24,1,1,15,1,13
"220",26,0,0,12,5.75,12
"221",29,0,1,12,2.75,11
"222",34,0,0,11,5,14
"223",23,0,0,12,0.0833333358168602,13
"224",20,1,1,12,0.416666656732559,12
"225",25,0,0,9,1.25,12
"226",36,0,1,16,1.75,15
"227",22,1,0,16,0.666666686534882,11
"228",40,0,0,11,1.25,13
"229",18,1,1,10,1.33333337306976,13
"230",21,0,0,12,0.666666686534882,11
"231",21,0,0,12,1.08333337306976,14
"232",29,0,0,16,0.25,15
"233",30,0,0,13,4.41666650772095,12
"234",20,1,1,9,1.08333337306976,13
"235",33,0,0,12,2.16666674613953,11
"236",19,1,0,12,0,12
"237",24,1,0,12,0,11
"238",27,0,0,12,0.666666686534882,12
"239",35,0,0,12,6.41666650772095,12
"240",18,1,0,12,1.16666662693024,11
"241",40,0,0,16,1.08333337306976,12
"242",33,0,0,17,3.41666674613953,14
"243",26,0,0,9,3,14
"244",38,0,1,12,1.08333337306976,12
"245",30,1,1,18,0,13
"246",35,0,0,12,8.5,12
"247",23,0,0,10,0.416666656732559,14
"248",33,0,1,11,7.83333349227905,11
"249",21,0,0,6,4.16666650772095,14
"250",41,0,0,16,5.58333349227905,12
"251",23,0,0,8,0.0833333358168602,14
"252",30,0,0,10,0.25,11
"253",30,0,1,11,0.0833333358168602,12
"254",20,1,0,11,1.75,13
"255",18,1,0,12,0.583333313465118,13
"256",21,1,0,12,0.16666667163372,18
"257",28,0,0,16,0.416666656732559,20
"258",25,0,0,15,1.25,20
"259",24,0,0,14,3.83333325386047,20
"260",34,0,0,16,0.16666667163372,16
"261",25,0,0,17,3.75,19
"262",23,0,0,17,0.416666656732559,18
"263",44,0,0,13,3.75,16
"264",23,0,0,12,0.25,16
"265",34,0,0,12,4.25,17
"266",33,0,0,12,3.91666674613953,16
"267",23,0,0,12,1.5,17
"268",24,0,0,12,0.416666656732559,18
"269",40,1,0,13,16.6666660308838,18
"270",38,0,1,16,5.41666650772095,18
"271",21,0,0,12,1.16666662693024,18
"272",25,1,1,16,2.41666674613953,16
"273",36,0,1,18,0.916666686534882,20
"274",24,0,0,12,1,20
"275",35,0,0,12,6.08333349227905,19
"276",20,0,0,12,0.333333343267441,17
"277",29,0,0,14,0.25,16
"278",32,0,0,11,6.25,18
"279",21,0,0,12,2.66666674613953,16
"280",39,1,0,11,3.83333325386047,19
"281",26,0,1,16,3.41666674613953,20
"282",35,0,1,12,11.25,16
"283",28,0,0,16,0,20
"284",21,1,0,12,0.833333313465118,16
"285",27,0,0,12,0.416666656732559,20
"286",23,1,0,16,0.25,18
"287",41,0,0,12,8.83333301544189,16
"288",32,0,0,17,5.75,18
"289",29,0,0,12,0.25,17
"290",22,1,1,13,2.66666674613953,16
"291",30,0,0,18,1.5,18
"292",38,0,0,11,1.83333337306976,18
"293",40,0,1,12,2.5,19
"294",22,1,0,16,0.666666686534882,17
"295",30,1,1,16,5.58333349227905,19
"296",34,0,0,18,0.833333313465118,16
"297",25,0,1,12,3.33333325386047,17
"298",38,0,0,17,0.16666667163372,20
"299",41,0,0,12,8.41666698455811,19
"300",21,0,0,12,2.58333325386047,18
"301",24,0,0,15,0.916666686534882,19
"302",36,0,0,10,11,17
"303",25,0,0,12,0.916666686534882,19
"304",27,1,0,13,1.83333337306976,18
"305",21,0,0,13,0.0833333358168602,16
"306",31,1,0,12,0.333333343267441,19
"307",35,0,1,16,3,20
"308",25,1,0,12,5.83333349227905,19
"309",43,0,0,14,7.75,17
"310",26,0,1,14,0.0833333358168602,16
"311",28,1,0,14,0.0833333358168602,20
"312",24,0,0,16,0.5,19
"313",19,1,1,12,0.583333313465118,16
"314",21,1,0,13,0.5,19
"315",25,1,0,16,1.5,17
"316",24,1,0,16,0.75,18
"317",34,0,0,13,0.0833333358168602,20
"318",38,0,0,14,18,20
"319",19,1,0,11,0.583333313465118,19
"320",35,0,0,13,14.0833330154419,20
"321",45,0,0,12,8.66666698455811,19
"322",35,1,0,15,3.33333325386047,17
"323",22,0,0,13,1.75,16
"324",25,0,1,16,0.333333343267441,16
"325",25,1,0,12,1.83333337306976,20
"326",19,1,0,12,0.75,18
"327",26,1,0,8,1.58333337306976,19
"328",24,0,0,11,0.0833333358168602,16
"329",33,0,0,12,1.83333337306976,18
"330",33,0,0,12,0.333333343267441,20
"331",23,1,0,16,0.416666656732559,20
"332",23,0,1,12,2.5,17
"333",27,0,1,16,0.5,20
"334",23,0,0,12,0,16
"335",23,1,0,12,1.83333337306976,18
"336",27,0,0,13,3.91666674613953,17
"337",36,0,0,12,9.25,19
"338",24,0,0,12,1.91666662693024,19
"339",21,0,0,12,1,16
"340",18,0,1,12,0.0833333358168602,16
"341",26,0,0,11,1.5,17
"342",34,0,0,12,0.416666656732559,16
"343",23,0,0,12,0,17
"344",26,0,0,12,1.58333337306976,16
"345",29,0,0,12,1.75,17
"346",23,0,0,12,2,18
"347",26,0,0,13,1.16666662693024,18
"348",22,0,0,12,1,16
"349",35,0,1,18,0.25,16
"350",21,1,1,14,1.75,18
"351",29,0,1,12,1,17
"352",31,0,0,13,1.5,17
"353",37,0,0,14,8.41666698455811,19
"354",32,0,1,12,5.75,19
"355",32,0,1,12,4.91666650772095,16
"356",21,1,0,14,0.666666686534882,20
"357",24,0,1,9,5.25,17
"358",37,0,1,13,11.75,19
"359",23,0,0,13,2.16666674613953,17
"360",24,0,0,12,2.66666674613953,16
"361",19,1,1,12,0.666666686534882,16
"362",30,0,1,9,1.83333337306976,17
"363",27,0,0,16,0.75,24
"364",22,1,0,12,1.75,24
"365",25,0,0,12,1.91666662693024,23
"366",35,0,0,17,2.83333325386047,23
"367",19,1,0,10,0.666666686534882,21
"368",24,0,1,12,2.25,22
"369",26,1,0,12,1.83333337306976,22
"370",28,0,1,14,0.25,24
"371",35,0,1,14,0.333333343267441,22
"372",26,0,0,14,5.66666650772095,25
"373",37,1,0,18,14.9166669845581,25
"374",38,0,0,12,0,25
"375",26,1,0,18,0.583333313465118,24
"376",35,0,0,18,5.41666650772095,25
"377",40,0,0,12,14.5,23
"378",33,0,0,13,2,23
"379",30,0,0,16,1.25,24
"380",21,1,0,12,1.33333337306976,21
"381",43,0,0,17,16.8333339691162,25
"382",27,0,0,11,1,22
"383",27,0,0,12,5.58333349227905,23
"384",25,0,0,12,0,21
"385",31,0,0,18,3.33333325386047,24
"386",43,0,0,14,1.5,22
"387",33,1,0,16,7.25,22
"388",27,0,0,16,8.58333301544189,25
"389",41,0,0,14,7.41666650772095,23
"390",27,0,1,11,3.08333325386047,21
"391",38,0,0,13,6.16666650772095,23
"392",19,1,0,12,1.5,21
"393",21,0,0,12,0.25,22
"394",22,1,0,12,1.33333337306976,21
"395",24,0,0,12,3.16666674613953,22
"396",27,0,0,15,0.833333313465118,21
"397",29,1,0,15,0.833333313465118,21
"398",35,0,0,12,16.75,24
"399",25,1,0,12,0,21
"400",35,1,0,13,0,25
"401",36,0,0,16,0.416666656732559,25
"402",37,0,0,11,0.583333313465118,21
"403",22,1,0,14,0,24
"404",40,1,0,18,16.9166660308838,25
"405",35,0,0,12,5.75,24
"406",33,0,0,11,5.58333349227905,22
"407",22,0,0,12,3.91666674613953,23
"408",33,0,1,12,6.91666650772095,25
"409",25,1,1,12,6.5,23
"410",24,0,0,12,5.25,22
"411",35,1,0,14,3.75,25
"412",34,0,0,9,9.83333301544189,22
"413",44,0,0,18,3.91666674613953,23
"414",29,0,0,12,5.91666650772095,23
"415",29,0,0,18,0.583333313465118,22
"416",39,0,1,12,2.91666674613953,21
"417",23,1,1,16,0.16666667163372,23
"418",29,1,0,16,0.916666686534882,21
"419",40,0,0,14,1.75,23
"420",25,1,1,16,0.0833333358168602,26
"421",32,0,0,16,7.75,29
"422",42,0,0,16,8,29
"423",29,1,0,12,4.08333349227905,26
"424",36,0,0,12,5.16666650772095,27
"425",40,0,1,17,6.41666650772095,28
"426",33,1,0,14,0.0833333358168602,27
"427",28,1,0,18,1,27
"428",34,1,0,16,12.5,30
"429",33,1,0,16,4.08333349227905,26
"430",32,0,0,17,3.66666674613953,30
"431",37,0,0,18,1.75,30
"432",25,0,0,13,4.16666650772095,28
"433",25,0,0,16,1.16666662693024,28
"434",38,0,0,16,3.91666674613953,29
"435",41,0,0,18,12.3333330154419,29
"436",37,1,0,12,14.6666669845581,30
"437",30,0,0,18,6.41666650772095,27
"438",33,0,0,16,0.666666686534882,30
"439",32,0,0,14,0,29
"440",31,0,0,18,0.916666686534882,28
"441",25,0,0,17,3.41666674613953,26
"442",29,0,1,14,8.83333301544189,29
"443",36,0,0,14,4.41666650772095,26
"444",29,0,0,16,4.91666650772095,29
"445",31,1,0,14,10.5,26
"446",32,0,0,16,10,28
"447",33,0,0,16,2,29
"448",36,0,0,13,7.83333349227905,30
"449",32,1,0,11,11.75,29
"450",39,1,0,16,12.25,32
"451",41,0,0,13,18.6666660308838,40
"452",26,0,0,17,1.5,31
"453",24,1,0,16,0.583333313465118,32
"454",38,0,0,18,8.33333301544189,36
"455",34,0,0,16,1.08333337306976,38
"456",39,1,0,16,10.4166669845581,38
"457",27,0,0,14,4.16666650772095,33
"458",35,0,0,17,13.5,33
"459",38,0,0,16,9.41666698455811,32
"460",35,0,1,14,0.333333343267441,37
"461",41,0,0,16,3.5,38
"462",44,0,0,18,4.83333349227905,39
"463",31,1,0,14,0.16666667163372,38
"464",36,0,0,17,1.25,31
"465",40,0,0,15,2.08333325386047,38
"466",28,0,0,16,6.5,32
"467",34,0,0,17,0.333333343267441,38
"468",40,1,0,18,3,34
"469",35,0,1,13,14.6666669845581,46
"470",42,0,0,16,6.33333349227905,46
"471",37,0,0,18,15.5,50
"472",36,0,0,17,6.91666650772095,48
"473",33,0,0,12,4.58333349227905,45
"474",20,0,0,12,1.33333337306976,43
"475",22,0,0,12,0.0833333358168602,41
"476",24,0,0,16,0.333333343267441,41
"477",41,0,0,16,17.4166660308838,43
"478",33,0,1,16,6.33333349227905,42
"479",37,0,0,13,7.5,41
"480",35,1,0,14,7.41666650772095,46
"481",34,1,0,12,8.5,43
"482",35,0,0,18,15.6666669845581,44
"483",21,0,0,10,3.83333325386047,79
"484",27,0,0,16,5.41666650772095,55
"485",36,1,0,17,13.3333330154419,53
"486",43,0,0,15,21.75,75
"487",33,0,1,18,1.41666662693024,62
"488",32,0,0,18,1.08333337306976,60
